LOCATION_NAME,TSN,X_COORD,Y_COORD,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESS,TRANSPORT
Lapstone Station,275030,150.6427966,-33.77369788,Coach1254,02 4780 3813,"Explorers Rd, Lapstone",2003|2004|2006|2017|2008|2009,3008|3010|3011|3017,Train
Lawson Station,278310,150.4298244,-33.71914485,Coach1264,02 4759 1052,"Loftus St, Lawson",2003|2004|2006|2017|2008|2009|2010,3008|3010|3011|3017,Train|Bus|Taxi rank
Leightonfield Station,216310,150.9849671,-33.8815017,Coach1406,02 9379 7704,"Christine Rd, Leightonfield",2003|2004|2005|2006|2017|2008,3008|3009|3010|3011,Train|Bus
Leppington Station,217933,150.8081,-33.9544,Coach1448,02 9765 1444,"Rickard Rd, Leppington",2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Leumeah Station,256010,150.8300507,-34.0511705,Coach1295,02 4629 0847,"O'Sullivan Rd, Leumeah",2001|2002|2003|2004|2005|2006|2015|2008|2009,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Leura Station,278010,150.3302704,-33.71172185,Coach1267,02 4780 3933,"Railway Pde, Leura",2003|2004|2006|2015|2008,3008|3010|3011|3017,Train|Bus|Taxi rank
Lewisham Station,204920,151.1472725,-33.89327853,Coach1211,02 9752 8029,"Cnr Railway Tce & Victoria St, Lewisham",2004|2005|2006|2015|2008,3003|3008|3009|3010|3011,Train|Bus
Lidcombe Station,214110,151.0453895,-33.86388935,Coach1218,02 9752 8432,"Railway Pde, Lidcombe",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Linden Station,277820,150.5052641,-33.71500231,Coach1261,02 4751 1018,"Great Western Hwy, Linden",2004|2017,3004|3008|3010|3011|3016,Train|Bus
Lindfield Station,207010,151.1691106,-33.77518546,Coach1119,02 9847 8402,"Lindfield Ave, Lindfield",2002|2004|2005|2006|2015|2008|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Lisarow Station,225070,151.3698171,-33.38231099,Coach1142,02 4352 1450,"Pacific Hwy, Lisarow",2002|2003|2004|2006|2017,3008|3010|3011|3016,Train|Bus
Lithgow Station,279010,150.1574494,-33.48050099,Coach1274,02 6354 9507,"Main St, Lithgow",2002|2003|2004|2005|2006|2015|2008|2009|2010,3001|3003|3005|3008|3009|3011,Train|Coach|Bus|Taxi rank
Liverpool Station,217020,150.9270542,-33.92510969,Coach1289,02 9765 1655,"Bigge St, Liverpool",2001|2002|2003|2004|2005|2006|2015|2008|2009|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Lochinvar Station,232110,151.4490865,-32.72072004,Coach1187,02 6543 1018,"Station Lane, Lochinvar",2003|2004|2005|2006|2017|2009,3001|3004|3009|3011|3020,Train
Loftus Station,223220,151.05132,-34.04513834,Coach1352,02 9522 1213,"Loftus Ave, Loftus",2002|2003|2004|2005|2006|2015|2008|2009|2010,3003|3009|3010|3011,Train|Bus
Lysaghts Station,250510,150.8760944,-34.45484317,Coach1374,02 4223 5685,"Springhill Rd, Cringila",2004|2017,3008|3010|3011|3017,Train
Macarthur Station,256030,150.7967371,-34.07207332,Coach1297,02 4629 0800,"Menangle Rd, Campbelltown",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Macdonaldtown Station,201520,151.1862916,-33.89666002,Coach1215,02 9379 1321,"Burren St, Macdonaldtown",2004|2005|2006|2015|2010,3003|3008|3010|3011,Train
Macquarie Fields Station,256410,150.8788965,-33.98480719,Coach1292,02 9765 1163,"Railway Pde, Macquarie Fields",2001|2002|2003|2004|2005|2006|2015|2008|2009,3008|3009|3010|3011,Train|Bus
Macquarie Park Station,211340,151.1286414,-33.78501276,Coach1427,02 8878 4326,"Cnr Lane Cove Rd & Waterloo Rd, Macquarie Park",2001|2004|2005|2006|2015|2008|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus
Macquarie University Station,211310,151.1181871,-33.77741329,Coach1426,02 8878 4110,"Cnr Waterloo Rd & Herring Rd, Macquarie Park",2001|2004|2005|2006|2015|2008|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Maitland Station,232020,151.5520999,-32.73803543,Coach1178,02 4933 6666,"Church St, Maitland",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Marayong Station,214820,150.9001991,-33.74645111,Coach1236,02 9851 7241,"Railway Pde, Marayong",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train
Marrickville Station,220410,151.1540328,-33.91409037,Coach1392,02 9563 7586,"Illawarra Rd, Marrickville",2004|2005|2006|2015|2008,3001|3003|3005|3006|3008|3011,Train|Bus|Taxi rank
Martin Place Station,200030,151.2115912,-33.86787091,Coach1106,02 9379 4858,"Macquarie St, Sydney",2004|2005|2006|2015|2008|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus
Martins Creek Station,242050,151.618509,-32.55868695,Coach1182,02 4932 8409,"Martins Creek Rd, Martins Creek",2003|2004|2006|2017,3001|3009|3011|3020,Train
Marulan Station,257940,150.0064192,-34.70950062,Coach1314,02 4868 1115,"George St, Marulan",2003|2004|2017|2008|2009|2011,3004|3010|3011|3015,Train
Mascot Station,202010,151.1872531,-33.92318797,Coach1330,02 8337 8440,"Cnr Bourke Rd & Church Ave, Mascot",2004|2005|2006|2015|2008|2011|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Taxi rank
Meadowbank Station,211430,151.0900609,-33.81623815,Coach1202,02 9752 8460,"Constitution Rd, Meadowbank",2001|2002|2003|2004|2005|2006|2015|2008|2010|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Ferry|Taxi rank
Medlow Bath Station,278030,150.2807859,-33.67387612,Coach1269,02 4782 1902,"Great Western Hwy, Medlow Bath",2004|2006|2017,3004|3008|3010|3011|3017,Train
Menangle Station,256810,150.7444307,-34.12520137,Coach1299,02 4677 1402,"Station St, Menangle",2003|2004|2006|2017,3004|3010|3011|3015,Train
Menangle Park Station,256310,150.7449558,-34.1037012,Coach1298,02 4677 1402,"Racecourse Dr, Menangle Park",2003|2004|2006|2017,3004|3010|3011|3015,Train
Merrylands Station,216010,150.9928633,-33.8363502,Coach1282,02 9848 9239,"Railway Tce, Merrylands",2001|2002|2003|2004|2005|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Metford Station,232310,151.6178682,-32.76487575,Coach1174,02 4933 7902,"Ferraby Dr, Metford",2002|2003|2004|2006|2017|2009,3001|3005|3008|3009|3011,Train|Bus
Milsons Point Station,206110,151.211825,-33.84589277,Coach1111,02 9379 4024,"Alfred St, Milsons Point",2004|2005|2006|2015|2008|2009,3001|3005|3006|3008|3009|3011,Train|Bus|Ferry|Taxi rank
Mindaribba Station,232050,151.5843137,-32.66932312,Coach1180,02 4932 8409,"Tocal Rd, Mindaribba",2004|2017,3010|3011|3020,Train
Minnamurra Station,253310,150.8522575,-34.62569976,Coach1384,02 4223 5613,"North St, Minnamurra",2001|2002|2004|2017,3001|3009|3011,Train|Bus
Minto Station,256610,150.8425967,-34.02714972,Coach1294,02 4629 0842,"Somerset St, Minto",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Miranda Station,222810,151.1028535,-34.03635478,Coach1348,02 9522 1295,"Kiora Rd, South Miranda",2001|2002|2003|2004|2005|2006|2015|2008|2010|2012,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Mittagong Station,257510,150.4476899,-34.45270638,Coach1305,02 4871 1935,"Regents St, Mittagong",2002|2003|2004|2005|2006|2017|2008|2009,3003|3008|3009|3010|3011,Train|Bus
Morisset Station,226410,151.4877339,-33.10924629,Coach1148,02 4349 9241,"Dora St, Morisset",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3008|3009|3011|3016,Train|Bus|Taxi rank
Mortdale Station,222310,151.0812881,-33.97058667,Coach1341,02 9563 7585,"Cnr Morts Rd & Pitt St, Mortdale",2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Moss Vale Station,257710,150.3719897,-34.54795977,Coach1308,02 4868 1115,"Bay St, Moss Vale",2002|2003|2004|2005|2006|2017|2008|2009|2011,3003|3008|3009|3010|3011,Train|Bus|Taxi rank
Mount Colah Station,207910,151.1144926,-33.67202205,Coach1129,02 9847 8476,"Pacific Hwy, Mount Colah",2004|2005|2006|2015|2008,3003|3008|3010|3011|3017,Train|Bus
Mount Druitt Station,277010,150.8197988,-33.76954233,Coach1248,02 9851 7501,"North Pde, Mount Druitt",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Mount Kuring-gai Station,208010,151.1368223,-33.65300164,Coach1130,02 9847 8497,"Pacific Hwy, Mount Kuring-gai",2004|2006|2017|2008,3008|3010|3011|3017,Train|Bus|Taxi rank
Mount Victoria Station,278610,150.2569734,-33.5881116,Coach1271,02 4787 1227,"Darling Causeway, Mount Victoria",2003|2004|2006|2017|2008|2009,3003|3008|3010|3011,Train|Coach|Bus|Taxi rank
Mulgrave Station,275610,150.830637,-33.62668367,Coach1241,02 9851 7275,"Mulgrave Rd, Mulgrave",2002|2003|2004|2006|2017|2008|2009|2010|2011|2013,3003|3004|3006|3010|3011,Train
Museum Station,200040,151.2Coach64,-33.87569985,Coach1104,02 9379 1396,"Elizabeth St, Sydney",2004|2005|2006|2015|2008|2012,3001|3002|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Muswellbrook Station,233310,150.8903202,-32.26749261,Coach1191,02 6543 1018,"Market St, Muswellbrook",2003|2004|2006|2017|2008|2009,3001|3008|3009|3011,Train|Bus
Narara Station,2250772,151.3443079,-33.39478578,Coach1140,02 4352 1450,"Valley Dr, Narara",2001|2002|2003|2004|2005|2006|2015,3008|3010|3011|3016,Train|Bus
Narwee Station,220920,151.0697482,-33.94751814,Coach1414,02 9563 7770,"Hannans Rd, Narwee",2002|2003|2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus|Taxi rank
Newtown Station,204210,151.1799247,-33.89788301,Coach1214,02 9379 1790,"King St, Newtown",2002|2004|2015|2008|2012,3001|3003|3005|3008|3009|3011,Train|Bus
Niagara Park Station,225060,151.3542821,-33.38333131,Coach1141,02 4352 1450,"Kathleen Morreau Rd, Niagara Park",2002|2003|2004|2005|2006|2017,3003|3008|3010|3011|3016,Train|Bus
Normanhurst Station,207620,151.0972405,-33.72075274,Coach1194,02 9847 8423,"Denman Pde, Normanhurst",2004|2006|2015|2008|2010,3003|3006|3008|3010|3011,Train|Bus|Taxi rank
North Ryde Station,211320,151.1379398,-33.7944217,Coach1428,02 8878 4335,"Delhi Rd, North Ryde",2001|2004|2005|2006|2015|2008|2010|2012,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus
North Strathfield Station,213710,151.0879861,-33.85868801,Coach1205,02 9752 8462,"Queen St, North Strathfield",2001|2002|2004|2005|2006|2015|2008|2011|2013,3003|3008|3010|3011,Train|Bus
North Sydney Station,206010,151.2074102,-33.84120853,Coach1112,02 9379 4432,"Blue St, North Sydney",2004|2005|2006|2015|2008|2011|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
North Wollongong Station,250010,150.8913492,-34.41259326,Coach1371,02 4223 5583,"Stafford St, North Wollongong",2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Oak Flats Station,252920,150.8209079,-34.57223075,Coach1382,02 4223 5656,"Stanford Dr, Oak Flats",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3008|3009|3011,Train|Bus|Taxi rank
Oatley Station,222320,151.0789651,-33.98084516,Coach1342,02 9522 1246,"Oatley Pde, Oatley",2002|2003|2004|2005|2006|2017|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Olympic Park Station,212710,151.0695472,-33.84652013,Coach1424,02 9752 8557,"Murray Rose Ave, Olympic Park",2003|2004|2005|2006|2015|2008|2009|2010|2011,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Otford Station,250830,151.0060039,-34.21020004,Coach1357,02 4223 5566,"Lady Carrington Rd, Otford",2003|2004|2006|2017|2008|2009,3003|3008|3009|3010|3011|3017,Train
Ourimbah Station,225810,151.3699892,-33.35960353,Coach1143,02 4349 9204,"Pacific Hwy, Ourimbah",2001|2002|2003|2004|2005|2006|2017|2008|2009|2011,3003|3008|3009|3010|3011|3016,Train|Bus
Padstow Station,221110,151.0325572,-33.95189202,Coach1416,02 9563 7653,"Howard Rd, Padstow",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Panania Station,221310,150.9978261,-33.95431112,Coach1418,02 9563 7654,"Sherlock Ave, Panania",2002|2003|2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus|Taxi rank
Parramatta Station,215020,151.0055351,-33.81757926,Coach1229,02 9848 9387,"Argyle St, Parramatta",2001|2002|2016|2003|2004|2005|2006|2015|2008|2009|2011,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Ferry|Taxi rank
Paterson Station,242110,151.6146372,-32.60240094,Coach1181,02 4932 8409,"Railway St, Paterson",2003|2004|2006|2017,3004|3008|3010|3011|3020,Train
Pendle Hill Station,214530,150.9563427,-33.8013479,Coach1232,02 9851 7203,"Wentworth Ave, Pendle Hill",2002|2003|2004|2005|2006|2015|2008,3003|3008|3009|3010|3011,Train|Bus|Taxi rank
Pennant Hills Station,212020,151.0725297,-33.73793863,Coach1196,02 9847 8523,"Railway St, Pennant Hills",2001|2002|2004|2005|2006|2015|2008|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Penrith Station,275010,150.6961348,-33.75005529,Coach1252,02 4780 3971,"Jane St, Penrith",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2012|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Penrose Station,257920,150.2117555,-34.67255107,Coach1311,02 4868 1115,"Highland Way, Penrose",2004|2017,3004|3010|3011|3015,Train
Penshurst Station,222210,151.0893865,-33.96612954,Coach1340,02 9563 7545,"Bridge St, Penshurst",2004|2005|2006|2015|2008|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Petersham Station,204910,151.1551562,-33.8938594,Coach1212,02 9752 8426,"Trafalgar St, Petersham",2004|2006|2015|2008,3003|3006|3008|3009|3010|3011,Train|Bus|Taxi rank
Picton Station,257110,150.6126016,-34.17914657,Coach1301,02 4677 1402,"Station St, Picton",2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3008|3009|3011,Train|Bus
Point Clare Station,225030,151.328556,-33.44577008,Coach1138,02 4325 7897,"Brisbane Water Dr, Point Clare",2001|2003|2004|2006|2017|2008,3003|3008|3010|3011|3016,Train|Bus
Port Kembla Station,250540,150.9019223,-34.47724493,Coach1377,02 4223 5685,"Old Port Kembla Rd, Port Kembla",2002|2003|2004|2005|2006|2017|2008|2009,3001|3009|3011,Train|Bus
Port Kembla North Station,250530,150.8880483,-34.47276667,Coach1376,02 4223 5685,"Flinders St, Port Kembla North",2004|2006|2017,3008|3010|3011,Train
Punchbowl Station,219610,151.055867,-33.92537752,Coach1400,02 9563 7684,"Punchbowl Rd, Punchbowl",2003|2004|2005|2006|2015|2008|2009,3003|3008|3010|3011,Train|Bus|Taxi rank
Pymble Station,207310,151.142138,-33.74472888,Coach1122,02 9847 8581,"Grandview St, Pymble",2003|2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus|Taxi rank
Quakers Hill Station,276310,150.886725,-33.72802483,Coach1237,02 9851 7243,"Railway Pde, Quakers Hill",2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Redfern Station,201510,151.1984847,-33.8923699,Coach1421,02 9379 1398,"Cnr Lawson St & Gibbons St, Redfern",2004|2005|2006|2015|2008|2010,3002|3003|3008|3009|3010|3011|3018,Train|Bus|Taxi rank
Regents Park Station,214310,151.0241875,-33.88298889,Coach1391,02 9752 8815,"Park Rd, Regents Park",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Revesby Station,221210,151.0148384,-33.95246003,Coach1417,02 9563 7760,"Blamey St, Revesby",2001|2002|2003|2004|2005|2006|2015|2008|2009|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Rhodes Station,213820,151.0870323,-33.83053036,Coach1203,02 9752 8467,"Walker St, Rhodes",2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus
Richmond Station,275320,150.753211,-33.59911164,Coach1245,02 9851 7247,"Market St, Richmond",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3006|3008|3009|3011,Train|Bus|Taxi rank
Riverstone Station,276510,150.8602679,-33.67904337,Coach1239,02 9851 7245,"Railway Tce, Riverstone",2001|2002|2003|2004|2005|2006|2015|2008|2009,3003|3004|3006|3010|3011,Train|Bus|Taxi rank
Riverwood Station,22Coach,151.0520353,-33.95153541,Coach1415,02 9563 7646,"William Rd, Riverwood",2003|2004|2005|2006|2015|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Rockdale Station,221620,151.1368616,-33.95188027,Coach1335,02 9563 7574,"Geeves Ave, Rockdale",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Rooty Hill Station,276610,150.8450187,-33.77151173,Coach1247,02 9851 7208,"North Pde, Rooty Hill",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3003|3008|3010|3011,Train|Bus|Taxi rank
Rosehill Station,214220,151.0220689,-33.82334612,Coach1221,02 9637 1520,"James Ruse Drv, Rosehill",2003|2004|2017,3004|3008|3010|3011,Train|Bus
Roseville Station,206910,151.177266,-33.78422026,Coach1118,02 9847 8461,"Hill St, Roseville",2002|2003|2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus|Taxi rank
Rydalmere Station,211610,151.0290977,-33.8Community Transport301,Coach1223,02 9848 9243,"Brodie St, Rydalmere",2003|2004|2005|2006|2017|2008|2009,3003|3008|3009|3010|3011,Train
Sandgate Station,230430,151.7026047,-32.87189652,Coach1169,02 4962 9495,"Astra St, Sandgate",2003|2004|2017,3008|3010|3011,Train
Scarborough Station,251510,150.9657909,-34.26498655,Coach1360,02 4223 5570,"Lawrence Hargrave Dr, Scarborough",2003|2004|2006|2017|2008,3008|3010|3011|3017,Train|Bus
Schofields Station,276220,150.8738169,-33.70447724,Coach1238,02 9851 7244,"Railway Tce, Schofields",2002|2003|2004|2006|2015|2008|2009|2010|2011,3001|3003|3005|3006|3009|3011,Train|Bus
Scone Station,233710,150.8669023,-32.04694089,Coach1193,02 6543 1018,"Susan St, Scone",2003|2004|2005|2017|2009,3001|3011,Train
Sefton Station,216210,151.0112833,-33.88523616,Coach1404,02 9379 7702,"Wellington Rd, Sefton",2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train
Seven Hills Station,214710,150.9365134,-33.77443043,Coach1234,02 9851 7431,"The Centre, Terminus Rd, Seven Hills",2001|2002|2003|2004|2005|2006|2015|2008|2009|2012,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Shellharbour Junction,2529218,150.8447273,-34.59128255,Coach1446,,"Piper Dr, Dunmore",2002|2003|2004|2005|2006|2017|2009|2010,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Singleton Station,233010,151.1651707,-32.57177047,Coach1190,02 6572 1034,"Munro St, Singleton",2003|2004|2005|2006|2017|2008,3001|3009|3011,Train|Bus
Springwood Station,277720,150.5639799,-33.6988416,Coach1259,02 4780 3915,"Jerseywold Ave, Springwood",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3008|3009|3011|3017,Train|Bus|Taxi rank
St James Station,200050,151.2118374,-33.87069742,Coach1105,02 9224 4751,"Elizabeth St, Sydney",2004|2005|2006|2015|2008|2010|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus
St Leonards Station,206520,151.1941268,-33.82238888,Coach1115,02 9379 1046,"The Forum, Herbert St, St Leonards",2001|2002|2004|2005|2006|2015|2008|2010|2011|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
St Marys Station,276010,150.776029,-33.76225585,Coach1249,02 9851 7525,"Cnr Station St & Queen St, St Marys",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
St Peters Station,204410,151.1802675,-33.9073952,Coach1443,02 9563 7412,"King St, St Peters",2004|2006|2015|2008,3003|3008|3010|3011,Train|Bus
Stanmore Station,204810,151.1640093,-33.89454885,Coach1213,02 9752 8994,"Douglas St, Stanmore",2004|2005|2006|2015|2008,3003|3008|3009|3010|3011,Train|Bus
Stanwell Park Station,250840,150.980938,-34.22658642,Coach1358,02 4223 5568,"Railway Cr, Stanwell Park",2002|2003|2004|2005|2006|2017|2008,3008|3009|3010|3011,Train
Strathfield Station,213510,151.0944271,-33.8718105,Coach1206,02 9752 8430,"Albert Rd, Strathfield",2004|2005|2006|2015|2008|2012|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Summer Hill Station,213010,151.1394451,-33.89056077,Coach1210,02 9752 8489,"Carlton Cr, Summer Hill",2004|2005|2006|2015|2008|2011,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Sutherland Station,223210,151.0571901,-34.03178692,Coach1345,02 9522 1260,"Old Princes Hwy, Sutherland",2001|2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Sydenham Station,204420,151.1666456,-33.9143732,Coach1326,02 9563 7764,"Gleeson Ave, Sydenham",2002|2004|2005|2006|2015|2008|2011|2013,3001|3003|3005|3008|3011,Train|Bus|Taxi rank
Tahmoor Station,257310,150.5899106,-34.22367667,Coach1302,02 4681 8218,"George St, Tahmoor",2003|2004|2005|2006|2017|2008|2009|2010,3001|3004|3011|3015,Train|Taxi rank
Tallong Station,257950,150.0865057,-34.7183306,Coach1313,02 4868 1115,"Highland Way, Tallong",2003|2004|2017,3004|3010|3011|3015,Train
Tarro Station,232220,151.6699415,-32.80930922,Coach1171,02 4962 9944,"Woodberry Rd, Tarro",2003|2004|2017,3008|3010|3011,Train
Tascott Station,225020,151.318056,-33.45135695,Coach1137,02 4349 9230,"Glenrock Pde, Tascott",2003|2004|2006|2017,3008|3010|3011|3013,Train|Bus
Telarah Station,232030,151.5396348,-32.72391026,Coach1179,02 4932 8409,"Johnson St, Telarah",2002|2003|2004|2006|2015|2008|2009|2011,3001|3003|3009|3011,Train|Bus
Telopea Station,211710,151.041563,-33.79367445,Coach1225,02 9872 1471,"Adderton Rd, Telopea",2003|2004|2005|2006|2017|2008,3004|3010|3011,Train|Bus
Tempe Station,204430,151.1565073,-33.92450473,Coach1327,02 9563 7417,"Griffiths St, Tempe",2002|2003|2004|2006|2015|2008|2009|2010,3003|3008|3009|3010|3011,Train
Teralba Station,228420,151.6034578,-32.96271245,Coach1153,02 4962 9437,"William St, Teralba",2003|2004|2005|2017,3008|3009|3010|3011|3016,Train|Bus
Thirroul Station,251550,150.9186524,-34.3184244,Coach1364,02 4223 5576,"Railway Pde, Thirroul",2001|2002|2003|2004|2005|2006|2015|2008|2009|2012|2013,3001|3003|3005|3008|3009|3011,Train|Bus|Taxi rank
Thornleigh Station,212010,151.078281,-33.7318712,Coach1195,02 9847 8474,"Railway Pde, Thornleigh",2001|2002|2003|2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus
Thornton Station,232240,151.6398308,-32.78359464,Coach1173,02 4962 9929,"Karuah St, Thornton",2003|2004|2006|2015|2008|2009|2011,3001|3005|3008|3009|3011,Train|Bus
Toongabbie Station,214610,150.9514373,-33.787263,Coach1233,02 9851 7204,"Wentworth Ave, Toongabbie",2003|2004|2005|2006|2015|2008,3003|3008|3009|3010|3011,Train|Bus|Taxi rank
Town Hall Station,200070,151.2068993,-33.87359633,Coach1101,02 9379 4110,"George St, Sydney",2004|2005|2006|2015|2008|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Towradgi Station,251830,150.9012389,-34.38468632,Coach1369,02 4223 5581,"Towradgi Rd, Towradgi",2001|2002|2004|2006|2017|2008|2011,3010|3011,Train|Bus
Tuggerah Station,225910,151.4201526,-33.30808648,Coach1144,02 4352 1450,"Pacific Hwy, Tuggerah",2001|2002|2003|2004|2005|2006|2015|2008|2009,3001|3003|3008|3009|3011,Train|Bus|Taxi rank
Turramurra Station,207410,151.1282818,-33.73218221,Coach1123,02 9847 8464,"Rohini St, Turramurra",2002|2003|2004|2005|2006|2015|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,Train|Bus|Taxi rank
Turrella Station,220530,151.139909,-33.92995296,Coach1409,02 9563 7768,"Hannan St, Turrella",2001|2002|2004|2005|2006|2015|2008,3003|3008|3010|3011,Train|Bus
Unanderra Station,252610,150.8462629,-34.45442878,Coach1378,02 4223 5640,"Central Rd, Unanderra",2001|2003|2004|2005|2006|2015|2009|2011,3008|3009|3010|3011|3017,Train|Bus|Taxi rank
Valley Heights Station,277710,150.583813,-33.70446573,Coach1258,02 4780 3105,"Great Western Hwy, Valley Heights",2003|2004|2006|2017|2008,3008|3010|3011|3017,Train|Bus
Victoria Street Station,232320,151.5938259,-32.75095775,Coach1175,02 4933 7902,"Victoria St, East Maitland",2003|2004|2006|2015|2008,3003|3008|3010|3011,Train|Bus|Taxi rank
Villawood Station,216320,150.9760479,-33.88090168,Coach1407,02 9765 1268,"River Ave, Villawood",2003|2004|2005|2006|2015|2008|2009,3003|3008|3010|3011,Train
Vineyard Station,276520,150.8512458,-33.65050415,Coach1240,02 9851 7245,"Cnr Riverstone Pde & Bandon Rd, Vineyard",2003|2004|2017,3004|3006|3010|3011,Train
Wahroonga Station,207610,151.1168923,-33.7174292,Coach1125,02 9847 8463,"Redleaf Ave, Wahroonga",2003|2004|2005|2006|2015|2008,3003|3008|3009|3010|3011,Train|Bus|Taxi rank
Waitara Station,207710,151.1043411,-33.70999326,Coach1126,02 9847 8468,"Alexandria Pde, Waitara",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010,3003|3008|3009|3010|3011,Train|Bus
Wallarobba Station,242020,151.6956798,-32.49613996,Coach1184,02 4932 8409,"Brookfield Rd, Wallarobba",2003|2004|2017,3001|3006|3011|3020,Train
Warabrook Station,230420,151.7098902,-32.88705464,Coach1168,02 4968 1487,"Warabrook Bvd, Warabrook",2003|2004|2015|2009,3001|3005|3008|3009|3011,Train
